sku,name,desc,rating,price,quantity,type,image
278002,2017 Cannondale Adventure Women's 2,"Find your own path on the Adventure Women's 2 from Cannondale. With a lightweight, easy-entry aluminum frame, you'll accelerate quickly and maintain excellent control. Shimano provides precise shifting and braking, and a suspension fork up front helps to smooth out any ""road turbulence"" you may encounter. Add in a Cannondale seat, seatpost, and adjustable stem, and you've got the perfect intrepid exploring companion.",0.0,0.0,12,Multi-Speed,http://thebicyclechain.com/images/library/large/cannondale-adventure-2-278002-1.jpg
309367,2018 Cannondale Quick 24 Boy's,"Keep that fun meter pegged with Cannondale's Quick 24. Built on a lightweight and durable C2 aluminum frame and fork, it boasts a 7-speed drivetrain to make hills a breeze. Powerful linear pull brakes deliver solid stopping power, while aluminum wheels spin easily, rolling on grippy Kenda Small Block 8 tires to keep the rubber side down. Cannondale even spec'd an ergo saddle for all-day comfort and a kickstand to keep the bike upright for easy, safe parking.",0.0,0.0,15,24-Inch (7+ yr. old),http://thebicyclechain.com/images/library/large/cannondale-quick-24-boys-309367-1.jpg
278015,2017 Cannondale Quick 7 Women's,"This is when it all begins: When you decide to start your own fitness revolution, when you decide to work out, not in. When you trade in four walls for two wheels. And you become the one who’s taking you to new places. Your journey starts here, with the comfort, confidence and speed of the Cannondale's Quick 7. Start the cycle with lightweight aluminum rims, women's specific geometry, and trusty Shimano drivetrain components.",0.0,0.0,14,Multi-Speed,http://thebicyclechain.com/images/library/large/cannondale-quick-7-lil-278015-1.jpg
237901,2017 Cannondale Trail 16 Single Speed - Boy's,"Put your youngster on Cannondale's Trail 16 Single Speed and watch them turn into a burgeoning cyclist. A lightweight aluminum frame rolls on strong 16-inch wheels with grippy Cannondale tires. A singlespeed drivetrain eliminates the complication of shifting gears and minimizes maintenance, while the rear coaster brake helps your child maintain control and durable training wheels help with balance. This rugged little bike will be around for their younger brothers, sisters, or neighbors too.",0.0,239.9,15,16-Inch (3-6 yr. old),http://thebicyclechain.com/images/library/large/cannondale-trail-16-single-speed-boys-copy-237901-1.jpg
237907,2017 Cannondale Trail 16 Single Speed - Girl's,"Put your youngster on Cannondale's Trail 16 Single Speed and watch them turn into a burgeoning cyclist. A lightweight aluminum frame rolls on strong 16-inch wheels with grippy Cannondale tires. A singlespeed drivetrain eliminates the complication of shifting gears and minimizes maintenance, while the rear coaster brake helps your child maintain control and the durable training wheels will help your child learn. This bike will be around for their younger brothers, sisters, or neighbors too.",0.0,239.9,19,16-Inch (3-6 yr. old),http://thebicyclechain.com/images/library/large/cannondale-trail-16-single-speed-boys-copy-237907-1.jpg
309369,2018 Cannondale Trail 16 Single-Speed Boy's,"Put your youngster on Cannondale's Trail 16 Single-Speed and watch them turn into a burgeoning cyclist. A lightweight aluminum frame rolls on strong 16-inch wheels with grippy and durable tires. A singlespeed drivetrain eliminates the complication of shifting gears and minimizes maintenance, while the rear coaster brake helps your child maintain control. The smooth-riding Trail 16 will have them dreaming of singletrack stardom, especially once those training wheels are gone.",0.0,239.9,18,16-Inch (3-6 yr. old),http://thebicyclechain.com/images/library/large/cannondale-trail-16-single-speed-boys-309369-1.jpg
309377,2018 Cannondale Trail 16 Single-Speed Girl's,"Put your youngster on Cannondale's Trail 16 Single-Speed and watch them turn into a burgeoning cyclist. A lightweight aluminum frame rolls on strong 16-inch wheels with grippy and durable tires. A singlespeed drivetrain eliminates the complication of shifting gears and minimizes maintenance, while the rear coaster brake helps your child maintain control. The smooth-riding Trail 16 will have them dreaming of singletrack stardom, especially once those training wheels are gone.",0.0,239.9,14,16-Inch (3-6 yr. old),http://thebicyclechain.com/images/library/large/cannondale-trail-16-single-speed-girls-309377-1.jpg
309371,2018 Cannondale Trail 20 Single-Speed Boy's,"The single-speed Trail 20 is an ideal bike for that transition period between the training wheels and a fully geared, off-road machine. A lightweight aluminum frame rolls on strong 20-inch wheels with pavement gripping tires. The one-speed drivetrain keeps it simple and minimizes maintenance, while the rear coaster brake and hand brake help kids transition from foot to hand controls.",0.0,279.9,12,20-Inch (5-8 yr. old),http://thebicyclechain.com/images/library/large/cannondale-trail-20-single-speed-boys-309371-11.jpg
309379,2018 Cannondale Trail 20 Single-Speed Girl's,"Cannondale's Trail 20 Single-Speed is an ideal bike for that transition period between the training wheels and a fully geared, off-road machine. A lightweight aluminum frame rolls on strong 20-inch wheels with street and trail gripping tires. The one-speed drivetrain keeps it simple and minimizes maintenance, while the rear coaster brake and hand brake help kids transition from foot to hand controls.",0.0,279.9,10,20-Inch (5-8 yr. old),http://thebicyclechain.com/images/library/large/cannondale-trail-20-single-speed-girls-309379-1.jpg
237902,2017 Cannondale Trail 20 Single-Speed - Boy's,"Make sure your kid enjoys riding as much as you do by getting them started on Cannondale's Trail 20 Single-Speed. An awesome, lightweight aluminum frame and plush SR SunTour suspension fork are the perfect chassis for this rugged machine. The strong 20-inch wheels with Cannondale tires grip everything from neighborhood streets to wooded Two hand brakes help kids stay in control, and a Cannondale seat, seatpost, and grips round out the package.",0.0,290.0,17,20-Inch (5-8 yr. old),http://thebicyclechain.com/images/library/large/cannondale-trail-20-boys-copy-237902-1.jpg
237909,2017 Cannondale Trail 20 Single-Speed - Girl's,"Hook your little rider up with the quality and low maintenance of Cannondale's Trail 20 Single-Speed. A lightweight aluminum frame rolls on strong 20-inch wheels with grippy Cannondale tires. The one-speed drivetrain keeps it simple and minimizes maintenance, while the rear coaster brake and front hand brake helps kids transition from foot to hand controls.",0.0,290.0,15,20-Inch (5-8 yr. old),http://thebicyclechain.com/images/library/large/cannondale-trail-20-single-speed-girls-copy-237909-1.jpg
